"filename", "language", "Dart", "comment", "blank", "total"
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\auth\LoginPage.dart", "Dart", 160, 1, 7, 168
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\auth\SignupPage.dart", "Dart", 195, 1, 7, 203
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\firebase_options.dart", "Dart", 48, 12, 3, 63
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\functions.dart", "Dart", 56, 0, 4, 60
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\home\friends\friendRequest.dart", "Dart", 131, 0, 10, 141
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\home\friends\friendsPage.dart", "Dart", 174, 2, 4, 180
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\home\homePage.dart", "Dart", 243, 2, 10, 255
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\main.dart", "Dart", 68, 1, 6, 75
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\models\chat.dart", "Dart", 32, 0, 3, 35
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\models\chatProvider.dart", "Dart", 181, 0, 18, 199
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\models\globalProvider.dart", "Dart", 5, 1, 2, 8
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\models\message.dart", "Dart", 12, 0, 2, 14
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\models\user.dart", "Dart", 13, 9, 2, 24
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\screens\chatScreen.dart", "Dart", 98, 1, 7, 106
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\screens\showUserScreen.dart", "Dart", 145, 0, 6, 151
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\chatTextBar.dart", "Dart", 54, 1, 3, 58
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\drawerWidget.dart", "Dart", 176, 0, 8, 184
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\menuTile.dart", "Dart", 19, 0, 3, 22
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\messageWidget.dart", "Dart", 57, 0, 3, 60
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\pickImageBottomSheet.dart", "Dart", 60, 1, 4, 65
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\textform.dart", "Dart", 56, 1, 3, 60
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\usersSearch.dart", "Dart", 106, 0, 7, 113
"Total", "-", 2089, 33, 122, 2244
